Date,Open,High,Low,Close,Adj Close,Volume,Sentiment
2018-01-02,177.679993,181.580002,177.550003,181.419998,181.419998,18151900,0.0
2018-01-03,181.880005,184.779999,181.330002,184.669998,184.669998,16886600,0.0
2018-01-04,184.899994,186.21000700000002,184.100006,184.330002,184.330002,13880900,0.0
2018-01-05,185.58999599999999,186.899994,184.929993,186.850006,186.850006,13574500,0.0
2018-01-08,187.199997,188.899994,186.330002,188.279999,188.279999,17994700,0.0
2018-01-09,188.699997,188.800003,187.100006,187.869995,187.869995,12393100,0.0
2018-01-10,186.940002,187.889999,185.630005,187.83999599999999,187.83999599999999,10529900,0.0
2018-01-11,188.399994,188.399994,187.380005,187.770004,187.770004,9588600,0.0
2018-01-12,178.059998,181.479996,177.399994,179.369995,179.369995,77551300,0.158775
2018-01-16,181.5,181.75,178.03999299999998,178.389999,178.389999,36183800,0.0
2018-01-17,179.259995,179.320007,175.800003,177.600006,177.600006,27992400,0.1806
2018-01-18,178.130005,180.979996,177.080002,179.800003,179.800003,23304900,0.0
2018-01-19,180.850006,182.369995,180.169998,181.28999299999998,181.28999299999998,26826500,0.20095
2018-01-22,180.800003,185.389999,180.41000400000001,185.369995,185.369995,21059500,0.0
2018-01-23,186.050003,189.550003,185.550003,189.350006,189.350006,25678800,0.0
2018-01-24,189.889999,190.66000400000001,186.520004,186.550003,186.550003,24334500,0.0
2018-01-25,187.949997,188.619995,186.600006,187.479996,187.479996,17377700,0.0
2018-01-26,187.75,190.0,186.809998,190.0,190.0,17759200,0.0
2018-01-29,188.75,188.83999599999999,185.630005,185.979996,185.979996,20453200,0.0
2018-01-30,187.619995,188.179993,181.83999599999999,187.119995,187.119995,20858600,0.0
2018-01-31,188.369995,189.830002,185.220001,186.889999,186.889999,43275100,0.3182
2018-02-01,188.220001,195.320007,187.889999,193.08999599999999,193.08999599999999,54211300,0.37455
2018-02-02,192.03999299999998,194.21000700000002,189.979996,190.279999,190.279999,26677500,0.2415
2018-02-05,186.929993,190.610001,180.610001,181.259995,181.259995,33128200,0.0
2018-02-06,178.570007,185.770004,177.740005,185.309998,185.309998,37758500,0.0
2018-02-07,184.149994,185.080002,179.949997,180.179993,180.179993,27601900,0.0
2018-02-08,181.009995,181.83999599999999,171.479996,171.580002,171.580002,38478300,0.0
2018-02-09,174.759995,176.899994,167.179993,176.110001,176.110001,39887600,-0.34
2018-02-12,177.059998,177.550003,171.83999599999999,176.41000400000001,176.41000400000001,32092100,0.0
2018-02-13,175.619995,175.970001,173.100006,173.149994,173.149994,21809400,0.0
2018-02-14,173.449997,179.809998,173.21000700000002,179.520004,179.520004,28929700,0.0
2018-02-15,180.5,180.5,176.83999599999999,179.96000700000002,179.96000700000002,20922100,0.0
2018-02-16,178.990005,179.880005,176.300003,177.360001,177.360001,20645300,0.0
2018-02-20,175.770004,177.949997,175.110001,176.009995,176.009995,21204900,0.0
2018-02-21,176.71000700000002,181.270004,176.399994,177.91000400000001,177.91000400000001,23200800,0.0
2018-02-22,178.699997,180.21000700000002,177.41000400000001,178.990005,178.990005,18464200,0.0
2018-02-23,179.899994,183.389999,179.509995,183.28999299999998,183.28999299999998,19007300,0.0
2018-02-26,184.580002,185.66000400000001,183.220001,184.929993,184.929993,17599700,0.0
2018-02-27,184.449997,184.699997,181.46000700000002,181.46000700000002,181.46000700000002,15849800,0.0
2018-02-28,182.300003,182.880005,178.139999,178.320007,178.320007,18783000,0.0
2018-03-01,179.009995,180.119995,174.41000400000001,175.940002,175.940002,23201600,-0.22545
2018-03-02,173.28999299999998,177.110001,172.990005,176.619995,176.619995,20025900,0.0
2018-03-05,176.199997,181.149994,175.889999,180.399994,180.399994,16189300,0.0
2018-03-06,181.779999,182.380005,179.110001,179.779999,179.779999,15086800,0.6369
2018-03-07,178.740005,183.820007,178.070007,183.71000700000002,183.71000700000002,19097300,0.0
2018-03-08,183.559998,184.399994,181.449997,182.33999599999999,182.33999599999999,17225900,-0.31245
2018-03-09,183.91000400000001,185.509995,183.21000700000002,185.229996,185.229996,18526300,0.0
2018-03-12,185.229996,186.100006,184.220001,184.759995,184.759995,15301200,0.0
2018-03-13,185.610001,185.990005,181.110001,181.880005,181.880005,18067500,0.0
2018-03-14,182.600006,184.25,181.850006,184.190002,184.190002,16821700,0.2263
2018-03-15,183.240005,184.0,182.190002,183.860001,183.860001,15614300,0.0
2018-03-16,184.490005,185.330002,183.41000400000001,185.08999599999999,185.08999599999999,24403400,0.0
2018-03-19,177.009995,177.169998,170.059998,172.559998,172.559998,88140100,0.021688888888888886
2018-03-20,167.470001,170.199997,161.949997,168.149994,168.149994,129851800,0.03698571428571429
2018-03-21,164.800003,173.399994,163.300003,169.389999,169.389999,106598800,-0.3498666666666666
2018-03-22,166.130005,170.270004,163.720001,164.889999,164.889999,73743000,-0.06291428571428571
2018-03-23,165.440002,166.600006,159.020004,159.389999,159.389999,53609700,0.14456666666666665
2018-03-26,160.820007,161.100006,149.020004,160.059998,160.059998,126116600,-0.1824
2018-03-27,156.309998,162.850006,150.75,152.220001,152.220001,79117000,-0.164925
2018-03-28,151.649994,155.880005,150.800003,153.029999,153.029999,60029200,0.20847500000000002
2018-03-29,155.149994,161.419998,154.139999,159.78999299999998,159.78999299999998,59434300,0.10023333333333333
2018-04-02,157.809998,159.199997,154.110001,155.389999,155.389999,36796000,0.0
2018-04-03,156.550003,157.389999,150.809998,156.110001,156.110001,42543900,0.0
2018-04-04,152.029999,155.559998,150.509995,155.100006,155.100006,49885600,-0.1468
2018-04-05,161.559998,161.570007,156.649994,159.33999599999999,159.33999599999999,41449600,0.0
2018-04-06,157.729996,161.419998,156.809998,157.199997,157.199997,41644800,0.0
2018-04-09,157.820007,160.529999,156.03999299999998,157.929993,157.929993,34915200,0.2202
2018-04-10,157.929993,165.979996,157.009995,165.03999299999998,165.03999299999998,57889300,-0.04486666666666667
2018-04-11,165.360001,168.649994,163.25,166.320007,166.320007,56144600,-0.10236666666666666
2018-04-12,166.979996,167.449997,163.100006,163.869995,163.869995,38263000,-0.04108
2018-04-13,164.580002,165.699997,163.770004,164.520004,164.520004,19990600,0.12120000000000002
2018-04-16,165.720001,165.779999,163.389999,164.830002,164.830002,18119400,0.0258
2018-04-17,165.830002,169.0,165.66000400000001,168.66000400000001,168.66000400000001,22743000,0.0
2018-04-18,166.880005,168.119995,165.770004,166.360001,166.360001,20969600,0.0
2018-04-19,166.199997,168.330002,165.199997,168.100006,168.100006,22235000,0.1027
2018-04-20,167.78999299999998,168.429993,165.809998,166.279999,166.279999,19119400,0.0
2018-04-23,167.270004,168.449997,165.08999599999999,165.83999599999999,165.83999599999999,23088100,0.5719
2018-04-24,165.429993,166.100006,158.190002,159.690002,159.690002,35079900,-0.09581999999999999
2018-04-25,160.139999,161.059998,156.190002,159.690002,159.690002,41083600,-0.2929
2018-04-26,173.220001,176.270004,170.800003,174.16000400000001,174.16000400000001,77556900,-0.1468
2018-04-27,176.809998,177.100006,172.600006,173.58999599999999,173.58999599999999,29804700,0.0
2018-04-30,173.78999299999998,175.720001,171.71000700000002,172.0,172.0,20750500,-0.1624
2018-05-01,172.0,174.020004,170.229996,173.860001,173.860001,26025900,0.26045
2018-05-02,174.25,178.080002,174.199997,176.070007,176.070007,30424500,0.0
2018-05-03,175.130005,176.119995,172.119995,174.020004,174.020004,24026100,0.0
2018-05-04,173.080002,176.979996,173.059998,176.610001,176.610001,17677800,-0.34
2018-05-07,177.350006,179.5,177.169998,177.970001,177.970001,18697200,0.0
2018-05-08,178.25,179.03999299999998,177.110001,178.919998,178.919998,15577200,0.0
2018-05-09,179.669998,183.009995,178.779999,182.66000400000001,182.66000400000001,23282800,0.0
2018-05-10,183.149994,186.130005,182.5,185.529999,185.529999,21071400,0.0
2018-05-11,184.850006,188.320007,184.179993,186.990005,186.990005,21207800,0.0
2018-05-14,187.71000700000002,187.860001,186.199997,186.639999,186.639999,15646700,0.0
2018-05-15,184.880005,185.28999299999998,183.199997,184.320007,184.320007,15429400,0.0
2018-05-16,183.699997,184.320007,182.66000400000001,183.199997,183.199997,16975500,-0.31053333333333333
2018-05-17,182.679993,184.059998,182.220001,183.759995,183.759995,14840700,0.0
2018-05-18,183.490005,184.190002,182.610001,182.679993,182.679993,13130500,0.0
2018-05-21,183.770004,185.300003,183.130005,184.490005,184.490005,13532900,0.0
2018-05-22,184.929993,185.419998,183.429993,183.800003,183.800003,12731400,-0.148
2018-05-23,182.5,186.91000400000001,182.179993,186.899994,186.899994,16628100,0.0
2018-05-24,185.880005,186.800003,185.029999,185.929993,185.929993,12354700,0.0
